111,1
116,0
167,0
166,1
165,0
153,0
122,0
140,0
159,1
114,0
160,1
138,1
129,0
144,0
143,0
108,0
101,1
166,1
162,0
119,0
111,1
101,0
142,1
130,1
102,0
169,1
163,0
160,0
137,1
129,0
145,0
129,1
111,0
129,1
160,1
141,0
133,0
100,1
121,1
168,0
110,1
169,0
113,0
154,0
117,1
134,0
105,1
159,1
141,1
157,1
110,1
103,0
134,0
159,0
111,1
119,1
132,0
122,1
105,1
109,0
113,1
108,0
145,1
122,0
136,0
156,0
101,0
112,0
139,0
159,1
114,1
102,1
106,1
158,0
136,0
161,1
151,1
150,0
129,1
160,0
155,1
104,0
147,0
101,1
146,0
148,0
122,1
161,0
133,0
110,0
135,1
124,0
146,0
111,0
119,0
115,0
158,0
113,1
124,0
100,1
150,0
131,1
143,1
148,1
151,1
100,0
135,1
159,0
109,1
119,1
100,0
156,1
148,0
146,1
111,1
105,0
134,1
102,1
150,1
121,0
111,0
146,1
166,1
168,0
148,1
159,1
121,1
130,0
103,0
101,0
155,0
162,0
102,1
107,0
108,0
113,1
141,0
160,0
128,0
157,1
141,0
169,1
147,1
167,0
139,1
140,0
142,0
119,1
130,1
157,0
114,1
107,0
138,1
127,0
105,0
115,0
143,1
168,1
125,1
170,1
106,1
135,0
165,0
148,1
146,0
164,1
128,0
140,1
157,0
132,1
161,1
111,1
106,1
143,1
140,1
166,0
119,1
106,0
160,1
112,1
161,0
167,1
125,0
165,1
154,1
153,1
156,0
111,0
148,1
117,1
115,0
106,0
124,0
151,0
141,0
143,1
120,1
131,0
129,0
108,1
109,1
107,1
162,0
112,0
136,1
149,0
112,1
143,0
142,0
127,0
116,1
140,1
127,1
156,1
110,0
153,1
103,1
136,1
121,1
125,0
166,0
156,1
149,1
111,1
102,0
112,0
129,1
140,1
149,0
164,1
106,1
153,1
162,1
132,0
164,0
158,0
123,0
122,0
167,0
129,0
102,1
159,1
154,0
169,1
145,0
164,1
107,1
161,1
151,0
163,0
131,1
122,1
133,0
131,0
133,1
159,0
161,1
157,0
158,0
112,0
149,1
141,1
159,0
152,0
124,0
119,0
134,0
146,1
151,0
121,1
109,1
145,1
102,0
130,1
137,0
137,0
132,1
147,0
102,0
112,1
168,0
108,1
120,1
147,0
140,1
101,1
129,0
166,0
166,0
104,0
139,0
154,1
163,1
100,1
160,1
129,1
120,0
136,0
106,1
131,1
162,1
107,1
136,0
112,0
129,0
149,1
116,1
167,1
115,1
123,1
161,1
136,0
153,1
146,1
166,1
157,1
133,1
165,1
127,1
138,1
163,1
114,0
115,0
100,0
158,0
105,1
162,1
116,0
122,1
142,1
170,0
151,1
131,0
151,0
141,0
149,0
154,0
103,0
104,1
108,0
155,0
138,0
131,0
161,0
153,0
160,0
121,1
105,1
125,0
144,0
136,1
141,1
115,0
150,0
113,1
102,0
152,0
152,1
109,0
152,1
120,0
128,1
121,0
138,1
163,1
157,0
151,0
117,1
169,0
169,0
139,0
135,0
152,0
124,1
106,0
149,1
139,0
